x,y,z
669150.9375,6220980,396.055
669157.75,6221080.5,390.655
669149.5,6221330,425.459
669160.875,6220959.5,395.227
669160.8125,6221310,419.933
669156.25,6220575,391.104
669162.25,6221292,405.253
669165,6221060,392.1
669162.8125,6221356,425.674
669163.0625,6220602.5,389.62
669163.4375,6221104.5,387.327
669170.1875,6220935,395.279
669170.0625,6220887.5,394.784
669173.3125,6220550,413.174
669165.4375,6221034,396.5
669168.625,6220519.5,426.402
669171.5625,6221278,391.3
669172.3125,6220857,391.604
669178.1875,6220913.5,393.976
669175.8125,6221090,389.713
669177.9375,6221016.5,396.209
669176.8125,6221297,405.425
669176.1875,6220986.5,395.522
669176.4375,6221337,424.927
669182.5625,6221120.5,386.9
669185.75,6220956.5,395.274
669178.8125,6220578,390.899
669186.8125,6221363,425.36
669193.625,6220930.5,393.397
669188,6220604,389.782
669190.5625,6221110,387.66
669191.3125,6220557,415.264
669191.625,6221072.5,392.1
669193.8125,6221045,396.59
669192.6875,6221096.5,388.817
669193.3125,6220523.5,426.254
669194.625,6220868.5,391.799
669195.4375,6221319,421.212
669195.5,6221284.5,391.3
669196.5625,6221084.5,389.926
669197.5,6221140.5,386.9
669203.5,6220977.5,395.484
669200.125,6220900,395.139
669199.8125,6221118.5,387.4
669202.4375,6221008.5,396.055
669203.125,6221344.5,424.991
669210.0625,6220951,394.351
669200.875,6220580,391.091
669208,6221106,388.772
669210.125,6221162,386.905
669210.75,6221129,387.447
669210.875,6221370,425.607
669211.3125,6221075,392.1
669211.375,6221303.5,404.51
669217,6221031.5,396.235
669217.3125,6220925.5,394.665
669212.9375,6221090.5,390.294
669213,6220606,389.604
669210.25,6220553.5,416.973
669220.3125,6220992,395.648
669218.1875,6220526,425.546
669218.8125,6220874.5,391.747
669219.375,6221326,419.3
669220.0625,6221289,391.3
669226.375,6220970.5,395.475
669228.3125,6220902,395.149
669223,6221183.5,389.145
669223.875,6221120.5,388.76
669230,6221352.5,424.381
669226.0625,6221151,388.154
669226.5625,6221096,390.71
669222.1875,6221055,396.433
669227.6875,6221079.5,392.1
669228.5,6221012,396.009
669233.625,6220945.5,394.127
669224,6220580.5,390.903
669234.25,6221134,388.748
669234.25,6221164.5,389.152
669234.875,6221377,426.012
669238.1875,6220923.5,394.789
669233.6875,6220554,418.055
