x,y,z
655942.625,6222317.5,412.009
655946.125,6221975,397.856
655944.3125,6221942,399.011
655944.4375,6222299.5,399.994
655946.4375,6222024,396.057
655946.625,6221874.5,398.861
655947.625,6221959,398.417
655947.625,6222350.5,403.556
655948.5625,6221757,401.944
655948.75,6221742,402.063
655949.25,6221832.5,399.3
655951.5625,6221907.5,397.247
655952.5625,6221816.5,400.755
655950.0625,6221893.5,398.135
655947.9375,6222344,403.311
655953.6875,6221999.5,396.682
655955.375,6221800.5,402.44
655952.625,6221857.5,397.913
655955.8125,6222260.5,395.439
655957.3125,6221955.5,398.62
655958.1875,6221986,397.044
655956.375,6221783.5,402.252
655960.0625,6221750,402.036
655958,6222276,396.802
655958.6875,6222310.5,400.981
655959.625,6222350,409.181
655958.5,6221843,398.015
655961.625,6221937,399.7
655960.625,6221740,401.918
655957.9375,6221766,401.817
655961.3125,6222022,396.072
655962.375,6221867,398.579
655958.3125,6222333,403.463
655958.8125,6222291,398.747
655957.6875,6222012,396.343
655963.0625,6221916.5,397.604
655966.9375,6221812,401.771
655963.8125,6221829,399.3
655964.6875,6221901,397.243
655966.8125,6221882.5,398.686
655962.9375,6221968.5,397.774
655969.75,6221794.5,402.339
655967.875,6222000,396.58
655968.1875,6221854,398.011
655970.75,6222259,394.316
655972,6221757.5,402.028
655971.375,6221776,402.288
655971.625,6222349.5,419.125
655972.125,6222278.5,397.278
655972.25,6221954,398.653
655972.5,6221738.5,401.876
655976,6221928,397.9
655976.375,6221942,399.208
655972.9375,6222320.5,408.587
655975.125,6221983.5,396.931
655973.6875,6221839.5,398.12
655975.6875,6222018,396.032
655974.4375,6222336,416.79
655976.8125,6221910.5,397.504
655981.75,6221807,400.592
655975.125,6222300,400.179
655979.9375,6221895,397.239
655978.1875,6221824.5,399.3
655977.5625,6221866.5,398.597
655983.9375,6221965.5,397.564
655986.6875,6221787.5,401.961
655984.8125,6221748,402.017
655983.5625,6222349,427.595
655983.8125,6221953,398.674
655984.375,6221736.5,401.812
655986.5,6221880,398.518
655985.5,6221766.5,402.112
655985.125,6222262.5,394.841
655986.9375,6221999.5,396.367
655985.4375,6222285,396.98
655985.25,6222314,409.842
655984.375,6221851.5,397.994
655985.75,6222329.5,421.117
655989.9375,6221922,399.6
655988.0625,6221938.5,397.9
655990,6222013.5,396.029
655989,6221835.5,398.102
655990.8125,6221981,396.857
655990.5625,6221904.5,397.842
655996.6875,6221803.5,399.3
655992.5,6221820,399.3
655992.4375,6222301,401.07
655998.125,6221755.5,401.828
656001.5,6221790,400.739
655997,6221864.5,398.465
655996.1875,6221734.5,401.741
655994.25,6221891.5,397.236
656000,6221774.5,401.573
655998.4375,6222347,436.185
655998.75,6221951.5,397.9
655999.3125,6222267,395.369
656000.375,6222286.5,397
656000.0625,6222319,420.342
656004.875,6221916,399.6
655998.375,6222337,431.666
656003.375,6221881,397.419
656000.875,6221847,398.35
656003.4375,6221935,399.6
656004.1875,6221989,396.533
656004.5,6221831.5,398.248
656010.8125,6221800,399.436
656007.4375,6221746.5,401.682
656004.75,6222011,396.055
656003.8125,6221968,397.265
656006.9375,6221816,399.3
656007.6875,6221951,397.75
656008.0625,6221733,401.665
656008.5,6222302,403.99
656014.875,6221763.5,400.56
656013.4375,6221783.5,400.266
656010.25,6222345,442.593
656010.8125,6221896.5,398.132
656012.1875,6222332.5,435.762
656016.9375,6221926,399.6
656011.8125,6221857,398.4
656017.3125,6221911.5,399.6
656014.3125,6222266.5,395.406
656019.5,6221979,396.773
