x,y,z
630330.8125,6229875.5,428.327
630327.0625,6229900,441.076
630322.6875,6228580,459.153
630332.1875,6229945.5,468.25
630345.25,6229924,458.978
630349.6875,6228460,464.847
630351.625,6228680.5,420.886
630353.5,6230009.5,497.004
630343.5625,6228652,432.176
630354.3125,6229870.5,429.019
630351.9375,6229896.5,444.665
630355.5625,6228566.5,458.517
630349.75,6228608,448.197
630364.125,6229959.5,483.506
630363.6875,6228515.5,462.894
630374.25,6228672.5,421.756
630377.25,6229864,429.668
630377.8125,6229888.5,445.574
630376.5,6229919.5,465.475
630387.4375,6228447,464.67
630382.0625,6228595,447.647
630397.4375,6228666,421.167
630389.625,6228636.5,432.627
630399.3125,6229854.5,428.939
630401.1875,6229876,443.923
630405.625,6229904,457.555
630414.1875,6229944.5,487.638
630402,6229997.5,499.482
630398.375,6228562.5,456.543
630394.6875,6228482,463.733
630417.6875,6229863.5,439.547
630420.625,6228660,419.804
630429.375,6229883,452.76
630421.375,6229845,428.919
630416.875,6228602.5,441.784
630434.625,6229912,472.101
630434.6875,6228430.5,464.45
630428.3125,6228521.5,462.352
630437.0625,6229858.5,444.448
630443.4375,6229835.5,428.928
630443.8125,6228654,420.409
630444.25,6228466.5,463.719
630432.25,6228635.5,428.397
630443.6875,6228573,450.548
630450.5625,6229985.5,498.607
630451.5625,6229871.5,453.249
630466.125,6229934,490.758
630465.4375,6229826,427.567
630459.1875,6229851,447.223
630457.8125,6229895,463.788
630467.125,6228648,421.356
630455.4375,6228612.5,435.281
630474.9375,6228504.5,462.517
630478.6875,6228547,451.264
630482,6228414.5,464.315
630474.3125,6229871,455.749
630487.4375,6229816.5,426.187
630483.125,6229844.5,447.357
630491.0625,6228647,420.006
630488.1875,6228626,433.161
630484.5,6228590.5,441.643
630507.75,6228465.5,463.609
630490.9375,6229898,464.83
630499.1875,6229974,499.121
630503.4375,6229866,457.048
630509.8125,6229808,426.121
630508.875,6229836,447.915
630515.75,6228521.5,452.982
630514.8125,6228645,421.469
630516.3125,6228613,436.619
630515.375,6229930,484.31
630528.5,6229891.5,460.033
630529.625,6228399.5,464.432
630535,6229856,458.946
630532.1875,6229799,424.447
630534.5,6229825,449.921
630524.6875,6228572,444.382
630537.1875,6228636.5,420.3
630552.0625,6228498,458.485
630556.5,6228541.5,445.697
630547.875,6229962.5,493.763
630554.75,6229791,424.137
630559.75,6229920,473.992
630553.0625,6229812.5,441.955
630548.5625,6228608,431.435
630559.5625,6228627.5,420.547
630566.5625,6229879,458.285
630555.625,6228454.5,463.067
630581.6875,6228521,446.759
630567.9375,6229838.5,458.463
630572.6875,6228583,439.918
630577.8125,6228386,464.665
630578.4375,6229787.5,427.03
630576.0625,6229809,445.917
630580.75,6228616.5,420.469
630591.9375,6228553.5,442.917
630604.5625,6229863,460.708
630603.5625,6229905.5,471.624
630595.25,6228484.5,453.453
630596.5,6229951,492.749
630593.25,6228425,463.304
630601.875,6229782.5,428.282
630596.375,6229800.5,441.167
630602.75,6228607,420.652
630603.5,6228581,434.155
630612.5,6228528,444.687
630616.375,6228375.5,464.58
630605.875,6229824.5,457.799
630625,6228565,436.892
630634.125,6229846.5,462.511
630624.8125,6229775.5,427.988
630625,6228598,420.207
630619.75,6229798,443.958
630634.5625,6228461,458.146
630649.5,6229884,466.662
630637.1875,6228504,446.516
630643.4375,6228414.5,462.999
630644.4375,6229936.5,488.487
630647.25,6228589,420.146
630643.875,6228540,441.972
630648.1875,6229770.5,429.304
630647.3125,6229788,443.525
630651,6228565.5,432.225
630654.9375,6228364.5,464.33
630642.1875,6229817.5,456.795
630669.25,6228449.5,458.33
630669.5,6228580,420.872
630669.4375,6228554,436.619
630671.1875,6229763.5,429.316
630668.875,6228487.5,449.901
630668.1875,6228524,444.992
630668.4375,6229842.5,463.114
630677.75,6229803.5,455.173
630691.5625,6229920,485.293
630691.6875,6228571,421.714
630693.5,6228354,464.006
630692.4375,6228543.5,438.114
630695.5,6229782.5,445.55
630700.125,6229768,437.529
630697.125,6228513.5,440.989
630699.8125,6229873,469.57
630707.125,6228472.5,450.352
630692.1875,6228412.5,462.177
630712.25,6229800,455.194
630713.875,6228561.5,423.262
630714.3125,6228537.5,436.927
630707.1875,6229832,462.116
630717.25,6229750,428.369
630716.4375,6229776,445.8
630731.9375,6228517.5,438.61
630737.3125,6228391,461.848
630736,6228552.5,422.977
630738.5625,6229903,486.217
630734.75,6229789.5,452.342
630740.3125,6229743.5,427.941
630738.6875,6229767.5,443.641
630741.75,6228341,463.811
630740.0625,6228441,457.183
630741.6875,6229816,459.217
630750.25,6228485,437.985
630743.4375,6229857,467.524
630758.125,6228543,420.957
630760.875,6228516,432.767
630763.375,6229736.5,429.026
630758.6875,6229758.5,438.955
630780.25,6228377,462.194
630775.9375,6228422,457.096
630783.875,6228501.5,432.496
630777.5,6228463,440.742
630764.6875,6229787,451.418
630780.25,6228534,422.663
630785.6875,6229886.5,486.87
630786.4375,6229730,426.2
630786.5,6229758,441.743
630789.875,6228327.5,463.664
630787.8125,6229831.5,461.519
630807.875,6228448.5,440.695
630802.375,6228524.5,424.663
630808.8125,6228504.5,430.524
630806.9375,6228481.5,432.792
630812.625,6228410.5,459.143
630804.6875,6229788.5,453.039
630812.375,6229743.5,436.521
630815.3125,6229762.5,445.66
630824.125,6228368.5,461.865
630825.3125,6228518,424.817
630825.625,6228498,430.629
630836.125,6228438.5,441.686
630838.0625,6228474,432.02
630833.0625,6229870.5,488.074
630833.1875,6229719,430.864
630832.625,6229777,450.667
630840.4375,6229747,444.276
630838,6228314,463.42
630851.4375,6228409.5,453.808
630848.8125,6228512.5,424.028
630841.25,6229814,462.106
630856.625,6229714,433.29
630861.4375,6229773,455.126
630872.25,6228507.5,423.618
630870.75,6228487,429.846
630871.4375,6229738,447.462
630880.0625,6229709,433.954
630872.6875,6228372.5,461.146
630880.625,6229855,491.841
630888.4375,6229803.5,465.121
630870.5625,6228450.5,435.126
630886.0625,6228300,463.325
630894.625,6229758.5,456.761
630895.6875,6228502.5,423.352
630892.5,6228417.5,444.932
630895.25,6229728,445.317
630899.0625,6228476.5,431.718
630903.5,6229703.5,433.706
630910.375,6228337.5,462.731
630905.8125,6228449.5,435.291
630919.125,6228497,423.532
630924.4375,6229780,465.215
630919.8125,6228389,456.961
630926.9375,6229698.5,434.735
630926.6875,6229730,452.874
630928.375,6229840,499.149
630934.125,6228286.5,463.497
630934.6875,6228433.5,439.812
630942.5625,6228492,422.177
630932.375,6228471,430.157
630950.3125,6229756,464.221
630950.375,6229693.5,435.569
630949.5,6228368.5,459.002
630958.125,6229791.5,476.054
630965.9375,6228486.5,423.36
630959.1875,6228404.5,456.315
630959.1875,6228462,430.261
630972.625,6228275.5,463.403
630973.8125,6229688,436.125
630967.9375,6229721,456.049
630974.5,6229758,468.104
630977.1875,6229829.5,506.192
630974.0625,6228440,439.688
630989.0625,6228480,423.576
630972.3125,6228331,461.845
630993.9375,6229785,485.148
630985.75,6228380,456.885
630997.375,6229683.5,439.323
631002.3125,6229737,468.874
630991.25,6228415,454.464
631012.125,6228473.5,424.552
631010.8125,6228446,439.55
631020.25,6229706.5,455.596
631020.6875,6228261.5,463.272
631020.9375,6229679,441.563
631024.75,6229771,487.682
631026.6875,6229822.5,510.401
631016,6228358.5,457.498
631037.75,6228309,460.647
631035.25,6228467,424.21
631026.3125,6228404,453.558
631044.5625,6229675,443.882
631043.4375,6229698,456.112
631037.3125,6229735,473.003
631058.375,6228461,424.472
631047.875,6228441.5,438.766
631063.5,6229775.5,505.48
631057.8125,6228369.5,456.03
631066.4375,6229818,514.901
631068.125,6229670.5,440.603
631068.6875,6228247.5,462.96
631069.5625,6229721.5,471.259
631074.8125,6228417.5,451.283
631081.5,6228454.5,425.012
631091.9375,6229667,438.685
631101.5625,6229699,466.728
631103.5,6229749.5,498.377
631093.375,6228340.5,456.372
631098.625,6228386,455.278
631100.375,6228289,460.176
631104.5625,6228448,425.157
631107,6228419.5,445.593
631115.75,6229664,440
631116.0625,6229812,521.84
631127.875,6229726.5,492.153
631116.625,6228233.5,463.345
631129.8125,6228366,455.452
631129.0625,6228403,446.348
631127.875,6228442,424.946
631134.3125,6229694.5,468.119
631136,6228324.5,456.811
631139.5,6229661,439.734
631142.5,6229763.5,510.623
631157.625,6228387.5,454.882
631151.125,6228436,424.61
631157.5,6229726,491.954
631153.5,6228417.5,435.714
631164.125,6228354.5,455.6
631149.6875,6228278,459.306
631163.75,6229689.5,464.104
631163.3125,6229658,440.319
631164.5,6228219,463.75
631165.8125,6229807,523.996
631174.4375,6228430,424.484
631180.8125,6228406,441.325
631184.125,6229761.5,507.625
631178.4375,6228320,455.767
631192.25,6229719,481.184
631188.3125,6228378,452.546
631187.0625,6229654.5,440.828
631195.625,6229680,455.899
631197.6875,6228424.5,424.785
631194.75,6228350.5,455.19
631210.8125,6229651,437.699
631202.1875,6228280.5,458.009
631221.3125,6229708,468.03
631212.375,6228204.5,464.594
631231.25,6229750,497.895
631215.5625,6229802,522.193
631213.5,6228400,438.587
631220.9375,6228418.5,424.791
631231.0625,6229679,449.468
631219,6228369,453.73
631223.9375,6228331.5,455.628
631234.5625,6229647.5,434.559
631240.875,6228240,460.784
631244.25,6228412.5,427.424
631243.4375,6228390,444.039
631256.25,6229711.5,465.706
631268,6229675.5,444.556
631250,6228364.5,453.701
631255.75,6228296.5,455.945
631260.375,6228190.5,465.322
631265.375,6229797.5,518.609
631267.5,6228407,427.486
631266.3125,6228386.5,442.773
631283.8125,6229751.5,496.216
631267.4375,6228339,454.669
631282.125,6229641.5,427.027
631289.125,6228220,462.221
631279.9375,6228370.5,451.047
631290.8125,6228401,429.57
631301.6875,6229668.5,441.637
631301.8125,6228267.5,457.18
631302.125,6229705.5,459.827
631309.3125,6228180.5,465.968
631296.6875,6228352,454.637
631298.25,6228319.5,455.731
631314.75,6228399.5,427.92
631308.375,6228379,446.052
631315.25,6229794.5,515.515
631326.4375,6229678,448.403
631333.3125,6228222,461.637
631329.9375,6229642.5,431.557
631329.4375,6228353,452.134
631332.5,6229749,493.056
631338.6875,6228397.5,427.118
631338.4375,6228309,455.221
631346,6229705.5,460.56
631353.875,6229644,435.059
631352.3125,6229667.5,448.012
631364.625,6228341,451.924
631358.9375,6228175,466.09
631362.625,6228395.5,425.888
631356.875,6228266,455.599
631360.75,6228374,440.909
631365.25,6229794.5,513.827
631382.75,6229743,486.438
631377.8125,6229644,436.981
631379.9375,6229690,454.925
631379.75,6228306.5,455.273
631386.5,6228393.5,423.768
631382.75,6228363.5,442.542
631383.75,6228222,460.447
631396.625,6228340,451.017
631401.6875,6229641.5,435.719
631406.375,6229668.5,449.607
631404.1875,6228270,455.601
631414.375,6229712.5,466.444
631408.8125,6228171,465.691
631410.5,6228393.5,424.305
631405.3125,6228369,439.284
631415.25,6229795,514.658
631417.625,6228312,455.178
631425.625,6229639.5,435.334
631429.75,6228348.5,450.964
631438.8125,6229685,454.408
631426,6229755.5,497.043
631434.4375,6228394.5,422.736
631425.8125,6228376,439.178
631446.6875,6228285.5,455.013
631440.5,6228229,458.455
631449.5,6229637.5,435.665
631459,6229660,448.353
